 --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                                                                                                                                                                                              |
 --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|     ver     | Date  | Time  |    Sequence                  |Frm | QP |P/MbInt|   Bits   |  SNRY  |  SNRU  |  SNRV  |  I4  |  I8  | I16  | IC0  | IC1  | IC2  | IC3  | PI4  | PI8  | PI16 |  P0  |  P1  |  P2  |  P3  | P1*4*| P1*8*| P2*4*| P2*8*| P3*4*| P3*8*|  P8  | P8:4 | P4*4*| P4*8*| P8:5 | P8:6 | P8:7 | BI4  | BI8  | BI16 |  B0  |  B1  |  B2  |  B3  | B0*4*| B0*8*| B1*4*| B1*8*| B2*4*| B2*8*| B3*4*| B3*8*|  B8  | B8:0 |B80*4*|B80*8*| B8:4 | B4*4*| B4*8*| B8:5 | B8:6 | B8:7 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|18.1/(FRExt)| 04/22 | 11:42 |              depth_ballet.yuv|  0 | 22 |  0/0  |    126984| 48.8588| 101.0668| 58.3533|   842|     0|  2230|  2995|    56|    20|     1|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:43 |              depth_ballet.yuv|  1 | 22 |  0/0  |     97880| 48.9055| 101.0668| 57.9612|     0|     0|     0|  1953|    39|    13|     0|   515|     0|  1490|     0|   835|    60|    21|    68|     0|    19|     0|    12|     0|   151|   313|   313|     0|    75|   148|    68|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:43 |              depth_ballet.yuv|  2 | 22 |  0/0  |     98672| 49.2965| 101.0668| 57.9677|     0|     0|     0|  1717|    31|    14|     0|   482|     0|  1280|     0|  1013|    80|    56|    76|     0|    30|     0|    23|     0|   161|   343|   343|     0|    85|   142|    74|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:44 |              depth_ballet.yuv|  3 | 22 |  0/0  |     96024| 49.3726| 101.0668| 58.0172|     0|     0|     0|  1674|    23|    13|     1|   462|     0|  1249|     0|  1000|   127|    69|    83|     0|    42|     0|    25|     0|   165|   354|   354|     0|   119|   114|    73|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:45 |              depth_ballet.yuv|  4 | 22 |  0/0  |     98080| 49.3084| 101.0668| 57.9750|     0|     0|     0|  1572|    20|    14|     0|   409|     0|  1197|     0|  1096|   128|    74|    97|     0|    42|     0|    39|     0|   168|   390|   390|     0|    98|   116|    68|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:47 |              depth_ballet.yuv|  5 | 22 |  0/0  |    102168| 49.3948| 101.0668| 58.0929|     0|     0|     0|  1545|    25|     6|     0|   439|     0|  1137|     0|  1101|   131|    66|    91|     0|    43|     0|    29|     0|   198|   442|   442|     0|    99|   169|    82|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:48 |              depth_ballet.yuv|  6 | 22 |  0/0  |    106248| 49.4069| 101.0668| 58.0167|     0|     0|     0|  1617|    14|    10|     1|   438|     0|  1204|     0|  1030|   151|    67|    76|     0|    47|     0|    29|     0|   182|   397|   397|     0|   113|   146|    72|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:49 |              depth_ballet.yuv|  7 | 22 |  0/0  |    106968| 49.3536| 101.0668| 58.0890|     0|     0|     0|  1655|    19|     6|     1|   458|     0|  1223|     0|  1038|   100|    62|    99|     0|    33|     0|    27|     0|   191|   461|   461|     0|    94|   134|    75|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:51 |              depth_ballet.yuv|  8 | 22 |  0/0  |    100672| 49.0758| 101.0668| 58.2429|     0|     0|     0|  1677|    36|     6|     0|   488|     0|  1231|     0|   977|   121|    70|    86|     0|    44|     0|    31|     0|   185|   419|   419|     0|    92|   169|    60|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|18.1/(FRExt)| 04/22 | 11:52 |              depth_ballet.yuv|  9 | 22 |  0/0  |     97720| 49.7129| 101.0668| 58.5439|     0|     0|     0|  1621|    28|     5|     0|   474|     0|  1180|     0|  1036|   128|    66|    75|     0|    43|     0|    32|     0|   188|   457|   457|     0|    85|   143|    67|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
